q_speaker,assembly,q_party,q_sex,q_elect_type,q_birth,q_term_count,q_mona_cd
조문환,18,한나라당,,비례대표,,초선,
박상돈,18,자유선진당,,지역구,,재선,
권택기,18,한나라당,,지역구,,초선,
유원일,18,창조한국당,,비례대표,,초선,
이석현,18,통합민주당,,지역구,,6선,
조경태,18,통합민주당,,지역구,,6선,
고승덕,18,한나라당,,지역구,,초선,
신건,18,무소속,,지역구,,초선,
현경병,18,한나라당,,지역구,,초선,
이사철,18,한나라당,,지역구,,재선,
이성헌,18,한나라당,,지역구,,재선,
김정훈,18,한나라당,,지역구,,4선,
임동규,18,한나라당,,비례대표,,초선,
이종혁,18,한나라당,,지역구,,초선,
조승수,18,진보신당,,지역구,,재선,
강용석,18,한나라당,,지역구,,초선,
최철국,18,통합민주당,,지역구,,재선,
김용구,18,자유선진당,,비례대표,,초선,
김태환,18,무소속,,지역구,,3선,
김재균,18,통합민주당,,지역구,,초선,
이영애,18,자유선진당,,비례대표,,초선,
정태근,18,한나라당,,지역구,,초선,
원희룡,18,한나라당,,지역구,,3선,
정영희,18,친박연대,,비례대표,,초선,
김태호,18,한나라당,,지역구,,4선,
김낙성,18,자유선진당,,지역구,,재선,
김진표,18,통합민주당,,지역구,,5선,
유정현,18,한나라당,,지역구,,초선,
정수성,18,무소속,,지역구,,재선,
김충조,18,통합민주당,,비례대표,,5선,
이윤석,18,무소속,,지역구,,재선,
이범래,18,한나라당,,지역구,,초선,
강성천,18,한나라당,,비례대표,,초선,
홍희덕,18,민주노동당,,비례대표,,초선,
박대해,18,친박연대,,지역구,,초선,
조해진,18,한나라당,,지역구,,3선,
이범관,18,한나라당,,지역구,,초선,
신영수,18,한나라당,,지역구,,초선,
김태년,19,민주통합당,,지역구,,5선,
정진후,19,통합진보당,,비례대표,,초선,
이군현,19,새누리당,,지역구,,4선,
현영희,19,새누리당,,비례대표,,초선,
박성호,19,새누리당,,지역구,,초선,
우원식,19,민주통합당,,지역구,,5선,
